X,Y,Z
-341.776296,661.429056,0.000000
-471.127833,595.270500,0.000000
-324.733333,651.261333,0.000000
-280.116857,598.106286,0.000000
-358.896156,682.502125,0.000000
-509.886500,754.227833,0.000000
-373.028625,693.244375,0.000000
-442.638556,594.390111,0.000000
-324.422545,650.394000,0.000000
-954.080000,954.762857,0.000000
-731.921868,859.031262,0.000000
-932.200000,989.173333,0.000000
-686.454600,864.590800,0.000000
-612.574167,969.280000,0.000000
-969.684000,795.251000,0.000000
-949.520000,970.330000,0.000000
-969.486148,813.802828,0.000000
-724.827880,877.530400,0.000000
-886.707000,726.811300,0.000000
-656.817622,885.151951,0.000000
-962.476667,780.846833,0.000000
-723.077904,881.771923,0.000000
-673.137750,876.491250,0.000000
-626.843000,887.178000,0.000000
-937.675926,938.691019,0.000000
-612.991000,892.443333,0.000000
-628.300333,890.521667,0.000000
-954.201667,961.510000,0.000000
-969.433956,813.776127,0.000000
-969.422500,813.781000,0.000000
-968.558800,809.064440,0.000000
-968.238267,812.370290,0.000000
-954.855455,966.744545,0.000000
-918.848333,890.553333,0.000000
-766.870000,856.414500,0.000000
-702.673444,873.652222,0.000000
-610.976500,905.013333,0.000000
-603.864167,896.933333,0.000000
-631.275750,883.792500,0.000000
-603.041131,958.973028,0.000000
-706.171792,872.538986,0.000000
-682.401490,867.742480,0.000000
-965.083000,827.476200,0.000000
-673.122667,867.505111,0.000000
-961.251250,800.598000,0.000000
-979.047895,776.122263,0.000000
-769.597037,854.334852,0.000000
-782.461522,740.221826,0.000000
-728.487667,694.658167,0.000000
-715.509179,878.373053,0.000000
-734.150246,874.848421,0.000000
-658.133753,890.439740,0.000000
-669.007625,872.705813,0.000000
-601.265280,967.377200,0.000000
-919.328333,892.441667,0.000000
-966.184444,952.211111,0.000000
-609.530000,885.422857,0.000000
-642.493399,887.318894,0.000000
-613.080667,969.960000,0.000000
-914.341667,1002.708333,0.000000
-683.480806,872.617500,0.000000
-920.334000,894.890000,0.000000
-970.293333,813.533400,0.000000
-669.682413,875.807619,0.000000
-733.722634,881.540611,0.000000
-691.328000,872.660000,0.000000
-656.881621,885.177727,0.000000
-946.065714,945.445714,0.000000
-951.480000,964.270000,0.000000
-949.187500,949.704167,0.000000
-724.917454,877.559745,0.000000
-700.404800,865.482312,0.000000
-599.134143,896.337143,0.000000
-964.324444,957.785556,0.000000
-958.200000,807.532429,0.000000
-686.348167,864.064583,0.000000
-606.535423,967.783846,0.000000
-511.902833,819.995167,0.000000
-514.787333,820.116333,0.000000
-473.507100,767.632700,0.000000
-645.753750,747.331333,0.000000
-495.421667,766.654500,0.000000
-513.995500,806.512167,0.000000
-501.594800,762.464200,0.000000
-324.730458,650.810792,0.000000
-227.811833,216.030833,0.000000
-250.404833,251.539500,0.000000
-244.053440,227.271960,0.000000
-231.030500,213.561833,0.000000
-242.666500,201.216125,0.000000
-243.319571,255.091286,0.000000
-240.598833,203.223500,0.000000
-246.730222,255.369667,0.000000
-204.869333,238.059000,0.000000
-208.131800,241.749700,0.000000
-237.540167,207.131000,0.000000
-232.754636,206.262636,0.000000
-227.864417,235.671333,0.000000
-229.912192,277.581034,0.000000
-232.781833,267.689000,0.000000
-229.492625,237.768000,0.000000
-251.258538,193.465769,0.000000
-245.029375,198.933250,0.000000
-233.974500,209.634500,0.000000
-230.525900,213.660900,0.000000
-219.917000,230.621750,0.000000
-218.810463,215.381407,0.000000
-200.873667,234.532833,0.000000
-231.144167,231.744500,0.000000
-213.570500,247.846833,0.000000
-219.943333,254.457500,0.000000
