X,Y,Z
700163.665589,9312342.478110,0.000000,3
700160.571389,9312345.375077,0.000000,3
700151.854056,9312355.185910,0.000000,3
700157.256989,9312349.120610,0.000000,3
700154.168389,9312352.010410,0.000000,3
700145.437222,9312361.770577,0.000000,3
700150.871089,9312355.739710,0.000000,3
700147.773722,9312358.638243,0.000000,3
700144.482089,9312362.336710,0.000000,3
700141.881889,9312364.744243,0.000000,3
700135.390103,9312371.342696,0.000000,3
700141.885197,9312378.309444,0.000000,3
700139.015556,9312368.417410,0.000000,3
700138.076489,9312368.968710,0.000000,3
700131.785861,9312341.750132,0.000000,3
700150.239923,9312317.385220,0.000000,3
700145.471603,9312324.896767,0.000000,3
700139.397675,9312321.378267,0.000000,3
700127.743949,9312328.000370,0.000000,3
700121.046207,9312323.352728,0.000000,3
700129.506056,9312313.566910,0.000000,3
700135.748639,9312361.649285,0.000000,3
700133.820556,9312275.317910,0.000000,3
700136.888889,9312277.655743,0.000000,3
700137.459789,9312278.566010,0.000000,3
700139.923556,9312281.171077,0.000000,3
700143.588722,9312284.056577,0.000000,3
700150.195889,9312290.455410,0.000000,3
700144.142989,9312284.969210,0.000000,3
700147.072056,9312288.027243,0.000000,3
700153.684389,9312294.368410,0.000000,3
700150.764489,9312291.340610,0.000000,3
700156.816556,9312296.881577,0.000000,3
700157.073889,9312297.314610,0.000000,3
700160.332556,9312300.743910,0.000000,3
700166.972056,9312307.111910,0.000000,3
700163.461722,9312303.201910,0.000000,3
700164.035789,9312304.078910,0.000000,3
700170.029889,9312309.621077,0.000000,3
700172.963556,9312312.858077,0.000000,3
700170.657089,9312310.476510,0.000000,3
700166.147989,9312314.458710,0.000000,3
700146.594489,9312295.464810,0.000000,3
700123.168389,9312292.235410,0.000000,3
700171.794246,9312278.270839,0.000000,85
700186.375246,9312342.202867,0.000000,85
700196.798056,9312288.656077,0.000000,85
700182.421675,9312253.228553,0.000000,85
700172.045389,9312257.900577,0.000000,85
700181.457889,9312275.951510,0.000000,85
700214.318889,9312309.263660,0.000000,85
700179.714989,9312323.479610,0.000000,85
700195.897809,9312306.236212,0.000000,12030
700217.065889,9312304.836410,0.000000,85
700235.614025,9312321.155592,0.000000,6
700189.339347,9312331.795368,0.000000,6
700206.896264,9312335.193535,0.000000,6
700193.520056,9312323.003743,0.000000,6
700194.316312,9312327.217179,0.000000,6
700210.272611,9312315.957299,0.000000,6
700197.900889,9312316.447410,0.000000,6
700216.081648,9312325.519521,0.000000,6
700203.304278,9312323.401299,0.000000,6
700217.524056,9312327.042077,0.000000,6
700227.123389,9312327.338110,0.000000,12030
700230.416222,9312378.697243,0.000000,6
700229.792556,9312352.677577,0.000000,6
700252.222389,9312354.208827,0.000000,6
700232.580889,9312368.086910,0.000000,6
700224.978056,9312368.792077,0.000000,6
700223.096532,9312351.500839,0.000000,6
700230.876833,9312361.655854,0.000000,6
700231.656514,9312360.653035,0.000000,6
700232.731960,9312390.224196,0.000000,6
700232.545960,9312362.392696,0.000000,6
700237.964056,9312421.426299,0.000000,6
700254.213139,9312378.507760,0.000000,6
700254.321972,9312376.353327,0.000000,6
700256.431122,9312372.459710,0.000000,6
700258.970189,9312426.366510,0.000000,6
700224.263972,9312367.948077,0.000000,6
700238.478126,9312423.434199,0.000000,6
700281.047571,9312373.661228,0.000000,6
700277.546139,9312423.116410,0.000000,6
700278.916154,9312422.601645,0.000000,6
700258.983907,9312445.348338,0.000000,6
700259.489483,9312447.201668,0.000000,12030
700259.572104,9312447.780201,0.000000,12030
700248.223181,9312352.998110,0.000000,6
700271.547811,9312293.917299,0.000000,6
700253.686989,9312342.015410,0.000000,6
700288.556056,9312346.392493,0.000000,6
700291.276722,9312359.155910,0.000000,6
700301.154264,9312346.235535,0.000000,6
700291.344389,9312368.758410,0.000000,6
700292.996222,9312382.498410,0.000000,6
700287.466489,9312382.405960,0.000000,6
